"Agency","Program_or_Activity","Confirmed_Fraud","Fiscal_Year"
"NASA","Langley Research Center (LaRC)","0.0000000000","2021"
"NASA","Lunar Discovery and Exploration","0.0000000000","2021"
"NASA","Marshall Space Flight Center (MSFC)","0.0000000000","2021"
"NASA","Mission Enabling Service","0.0000000000","2021"
"NASA","NASA","0.4606000000","2017"
"NASA","NASA","0.4629000000","2018"
"NASA","NASA Headquarters (NASA HQ) / Jet Propulsion Laboratory (JPL)","0.0000000000","2021"
"NASA","NASA Shared Services Center (NSSC)","0.0000000000","2021"
"NASA","National Historic Preservation","0.0000000000","2021"
"NASA","Office of Chief Financial Officer - Policy Grants Mission Design Lab (MDL) Sustained","0.0000000000","2021"
"NASA","Office of Inspector General - Office of Audits","0.0000000000","2021"
"NASA","Office of Inspector General - Office of Investigations","2.1600000000","2021"
"NASA","Office of Procurement - Incurred Cost Mission Design Lab (MDL) Sustained","0.0000000000","2021"
"NASA","Planetary Defense","0.0000000000","2021"
"NASA","Product Substitution - NNK14MA75C","0.0108221000","2020"
"NASA","Reimbursable (RMB) - ST Programmatic Reimbursables","0.0000000000","2021"
"NASA","Reimbursable (RMB) Aeronautics Research Mission Directorate (ARMD) Programmatic Reimbursables","0.0000000000","2021"
"NASA","Reimbursable (RMB) Exploration Systems Mission Directorate (ESMD) Institutional Reimbursables","0.0000000000","2021"
"NASA","Reimbursable (RMB) Office of Inspector General (OIG) Institution Reimbursables","0.0000000000","2021"
"NASA","Reimbursable (RMB) Science Mission Directorate (SCMD) Institutional Reimbursables","0.0000000000","2021"
"NASA","Reimbursable (RMB) Science Mission Directorate (SCMD) Programmatic Reimbursables","0.0000000000","2021"
"NASA","Reimbursable (RMB) Small Spacecraft Mission Service (SSMS) Institutional Reimbursables","0.0000000000","2021"
"NASA","Reimbursable (RMB) Space Operations Mission Directorate (SOMD) Institutional Reimbursables","0.0000000000","2021"
"NASA","Reimbursable (RMB) Space Operations Mission Directorate (SOMD) Programmatic Reimbursables","0.0000000000","2021"
"NASA","Reimbursable (RMB)- STEM Programmatic Reimbursables","0.0000000000","2021"
"NASA","SBA Cert Fraud - NNC06BA06B","0.4907100000","2020"
"NASA","SBA Cert Fraud - NNK13CA90C","0.2418110000","2020"
"NASA","SBIR Fraud - NNX09CA19C","0.1500000000","2020"
"NASA","SBIR Fraud - NNX12CD52P, NNX12CE39P, NNX13CD13C, NNX11CF13P, NNX10CC35P, NNX11CA18C, NNX07CA23P, NNX08CA06C, NNK06OM14C, NNK07MA09C","0.0885000000","2020"
"NASA","SBIR Fraud - NNX13CJ45C","0.5430000000","2020"
"NASA","Science Construction of Facilities (CoF)","0.0000000000","2021"
"NASA","Science, Technology, Engineering and Mathematics (STEM) Engagement","0.0000000000","2021"
"NASA","Space Operations Construction of Facilities (CoF)","0.0000000000","2021"
"NASA","Space Shuttle Program","0.0000000000","2021"
"NASA","Space Technology Research & Development (STRD)","0.0000000000","2021"
"NASA","Stennis Space Center (SSC)","0.0000000000","2021"
"NASA","Transformative Aeronautics Concepts Program","0.0000000000","2021"
"NEA","","0.0000000000","2022"
"NEA","","0.0000000000","2023"
"NEA","","0.0000050000","2024"
"NEH","","0.0000000000","2022"
"NEH","","0.0000000000","2023"
"NEH","","0.0000000000","2024"
"NLRB","","0.0000000000","2022"
"NLRB","","0.0000000000","2023"
"NLRB","","0.0000000000","2024"
"NRC","","0.0000000000","2022"
"NRC","","0.0000000000","2023"
"NRC","","0.0000000000","2024"
"NRC","Agency Reporting","0.0000000000","2021"
"NRC","Commercial Payments - Nuclear Regulatory Commission","0.0000000000","2020"
"NRC","Commercial Payments - Nuclear Regulatory Commission","0.0000000000","2021"
"NRC","Employee Payments - Nuclear Regulatory Commission","0.0000000000","2020"
"NRC","Employee Payments - Nuclear Regulatory Commission","0.0000000000","2021"
"NRC","Government Charge Cards","0.0000000000","2020"
"NRC","Government Charge Cards","0.0000000000","2021"
"NRC","Grants Payments - Nuclear Regulatory Commission","0.0000000000","2020"
"NRC","Grants Payments - Nuclear Regulatory Commission","0.0000000000","2021"
"NRC","Nuclear Regulatory Commission - 31000001","0.0000000000","2018"
"NRC","Payroll - Nuclear Regulatory Commission","0.0000000000","2020"
"NRC","Payroll - Nuclear Regulatory Commission","0.0000000000","2021"
"NSF","","1.7500000000","2024"
"NSF","","2.0000000000","2022"
"NSF","","4.2300000000","2023"
"NSF","Contracts and Individual Payments","0.0000000000","2018"
"NSF","Contracts and Individual Payments","0.0000000000","2021"
"NSF","Grants and Cooperative Agreements","2.9190000000","2019"
"NSF","Grants and Cooperative Agreements","5.1700000000","2021"
"NSF","Grants and Cooperative Agreements","5.2160000000","2018"
"NSF","Grants and Cooperative Agreements","5.2300000000","2020"
"NSF","NSF","4.1652682100","2017"
"NSF","Payments to Employees","0.0000000000","2018"
"NSF","Payments to Employees","0.0000000000","2021"
"NSF","Purchase Cards","0.0000000000","2018"
"NSF","Purchase Cards","0.0000000000","2021"
"NTSB","NTSB Operations","0.0000000000","2021"
"OGE","","0.0000000000","2022"
"OGE","","0.0000000000","2023"
"OGE","","0.0000000000","2024"
"OPM","","4.0709770000","2023"
"OPM","","8.4221981500","2024"
"OPM","","37.5000000000","2022"
"OPM","Background Investigations","0.3770000000","2018"
"OPM","Background Investigations","0.6100000000","2019"
"OPM","Federal Employees Health Benefits","15.4041090000","2020"
"OPM","Federal Employees Health Benefits","17.8000000000","2018"
"OPM","Federal Employees Health Benefits","36.2500000000","2019"
"OPM","Federal Employes Health Benefits","17.6500000000","2021"
"OPM","Federal Retirement Services","2.0300000000","2021"
"OPM","Federal Retirement Services","5.3699140500","2020"
"OPM","Healthcare (FEHBP)","10.9400000000","2017"
"OPM","Merit System Accountabilty & Compliance","0.0200000000","2019"
"OPM","National Background Investigations Bureau","0.2798549100","2020"
"OPM","NBIB","0.2600000000","2017"
"OPM","Office of Inspector General","0.0000000000","2018"
"OPM","OIG","0.0400000000","2017"
"OPM","Retirement","1.2700000000","2017"
"OPM","Total Retirement Program","1.9500000000","2019"
"OPM","Total Retirement Program","3.6900000000","2018"
"OSC","","0.0000000000","2022"
"OSC","","0.0000000000","2023"
"OSC","","0.0000000000","2024"
"OSHRC","","0.0000000000","2022"
"PBGC","","0.0000000000","2022"
"PBGC","","0.0000000000","2023"
"PBGC","","0.0000000000","2024"
"PC","","0.0000000000","2022"
"PC","","0.0000000000","2023"
"PCLOB","","0.0000000000","2022"
"PCLOB","","0.0000000000","2023"
"PCLOB","","0.0000000000","2024"
"RRB","","0.8885970000","2023"
"RRB","","1.0230000000","2022"
"RRB","","1.1328166000","2024"
"RRB","Employee Payments - Railroad Retirement Board","0.0000000000","2021"
"RRB","Health Care Fraud Including Railroad Medicare","144.8720447300","2017"
"RRB","Medicare Including Railroad Medicare","13.9030000000","2020"
"RRB","Medicare Including Railroad Medicare*","170.5740000000","2018"
"RRB","Medicare Including Railroad Medicare**","103.5830000000","2019"
"RRB","Railroad Medicare","0.0740000000","2017"
"RRB","Railroad Retirement Act","0.7380000000","2020"
"RRB","Railroad Retirement Act","1.9208223600","2017"
"RRB","Railroad Retirement Act","2.5540000000","2021"
"RRB","Railroad Retirement Act","3.2840000000","2019"
"RRB","Railroad Retirement Act","3.4300000000","2018"
"RRB","Railroad Unemployment Insurance Act","0.2065406000","2017"
"RRB","Railroad Unemployment Insurance Act","0.3340000000","2020"
"RRB","Railroad Unemployment Insurance Act","0.3730000000","2018"
"RRB","Railroad Unemployment Insurance Act","0.4660000000","2021"
"RRB","Railroad Unemployment Insurance Act","0.5030000000","2019"
"RRB","Vendor Payments - Railroad Retirement Board","0.0000000000","2021"
"SBA","","65.0400000000","2023"
"SBA","","83.3021880000","2024"
"SBA","","103.7400000000","2022"
"SBA","504 Certified Development Loans Approvals","0.0000000000","2021"
"SBA","7(a) Loan Guarantees Approvals","0.0000000000","2021"
"SBA","7(a) Loan Guarantees Purchases","0.0000000000","2021"
"SBA","Administrative","0.1627375700","2017"
"SBA","Administrative","0.7300000000","2018"
"SBA","Administrative","1.6500000000","2019"
"SBA","Civil","0.0000000000","2018"
"SBA","Civil","1.1200000000","2017"
"SBA","Civil","1.2000000000","2019"
"SBA","Cost Avoidance","0.0000000000","2018"
"SBA","Cost Avoidance","0.0000000000","2019"
"SBA","Cost Avoidance","0.5341552600","2017"
"SBA","COVID-Economic Injury Disaster Loan (EIDL)","0.0000000000","2021"
"SBA","Disaster Assistance Loans","0.0000000000","2021"
"SBA","Microloan Program","0.0000000000","2021"
"SBA","Office of Women's Business Ownership (OWBO)","0.0000000000","2021"
"SBA","SBA Administrative Payroll","0.0000000000","2021"
"SBA","SBA Administrative Travel","0.0000000000","2021"
"SBA","SERVICE CORPS OF RETIRED EXECUTIVES PROGRAM (SCORE)","0.0000000000","2021"
"SBA","Small Business Development Center (SBDC)","0.0000000000","2021"
"SBA","Small Business Investment Companies Advances","0.0000000000","2021"
"SBA","State Trade Expansion Program","0.0000000000","2021"
"SBA","Surety Bond Guarantees (SBG)","0.0000000000","2021"
"SEC","","0.0000000000","2022"
"SEC","","0.0000000000","2023"
"SEC","Securities and Exchange Commission Agency Reporting","0.0000000000","2021"
"SSA","","63.1834824200","2023"
"SSA","","73.0632850000","2022"
"SSA","","88.0467220000","2024"
"SSA","Administrative Payments - Social Security Administration","0.0000000000","2021"
"SSA","Old-Age, Survivors, and Disability Insurance (OASDI)","77.7600000000","2018"
"SSA","Old-Age, Survivors, and Disability Insurance (OASDI)","86.5600000000","2020"
"SSA","Old-Age, Survivors, and Disability Insurance (OASDI)","88.2200000000","2019"
"SSA","Old-Age, Survivors, and Disability Insurance (OASDI)","106.3200000000","2021"
"SSA","Old-Age, Survivors, and Disability Insurance (OASDI)","116.6470000000","2017"
"SSA","Supplemental Security Income (SSI)","13.0400000000","2021"
"SSA","Supplemental Security Income (SSI)","25.6900000000","2020"
"SSA","Supplemental Security Income (SSI)","25.9500000000","2019"
"SSA","Supplemental Security Income (SSI)","32.0320000000","2017"
"SSA","Supplemental Security Income (SSI)","33.1000000000","2018"
"SSS","","0.0000000000","2024"
"STATE","","13.8400000000","2023"
"STATE","","14.5900000000","2022"
"STATE","","40.4109920000","2024"
"STATE","American Compensation","0.0000000000","2021"
"STATE","Assessed Contributions","0.0000000000","2021"
"STATE","Aviation, Anticrime, Interdiction and Related Programs","0.0000000000","2021"
"STATE","Aviation, Anticrime, Interdiction and Related Programs","0.0000000000","2021"
"STATE","Capital and Real Property Acquisitions Programs","0.0000000000","2021"
"STATE","Citizen Exchange Program","0.0000000000","2021"
"STATE","Construction","0.0000000000","2021"
"STATE","Consular and Border Security Programs","0.0000000000","2021"
"STATE","Defense Contract Audit Agency","0.0000000000","2021"
"STATE","Department of State","7.1392950000","2018"
"STATE","Department of State Programs","4.9500000000","2020"
"STATE","Diplomatic Programs","0.0000000000","2021"
"STATE","Diplomatic Programs, Diplomatic Policy and Support","0.0000000000","2021"
"STATE","Diplomatic Programs, Other Operations Programs","0.0000000000","2021"
"STATE","Diplomatic Programs, Terrorism Related","0.0000000000","2021"
"STATE","Domestic Purchase Card Payments","0.0000000000","2021"
"STATE","Economic Support Fund","0.0000000000","2021"
"STATE","Educational Programs","0.0000000000","2021"
"STATE","Embassy Operations Programs","0.0000000000","2021"
"STATE","Foreign Locally Employed Staff Compensation","0.0000000000","2021"
"STATE","Foreign Service Annuities","0.0000000000","2021"
"STATE","Fulbright Program","0.0000000000","2021"
"STATE","International Cooperative Administrative Support Services","0.0000000000","2021"
"STATE","International Security and Nonproliferation Related Programs","0.0000000000","2021"
"STATE","International Security Programs","0.0000000000","2021"
"STATE","Leaseholds and Functional Programs","0.0000000000","2021"
"STATE","National Endowment for Democracy","0.0000000000","2021"
"STATE","Office of Inspector General - Department of State","0.0000000000","2021"
"STATE","Overseas Programs","0.0000000000","2021"
"STATE","Peace-Keeping Operations Programs","0.0000000000","2021"
"STATE","Physical Security Programs","0.0000000000","2021"
"STATE","Population Refugees and Migration Programs","0.0000000000","2021"
"STATE","Post-Assignment Travel","0.0000000000","2021"
"STATE","Project Construction - Major Rehabilitation","0.0000000000","2021"
"STATE","Promote the Rule of Law","0.0000000000","2021"
"STATE","Security - Afghanistan, Pakistan","0.0000000000","2021"
"STATE","State","16.9850000000","2021"
"STATE","State Department","19.1500000000","2017"
"STATE","State Department Programs","5.3000000000","2019"
"STATE","Temporary Duty Travel","0.0000000000","2021"
"STATE","Voluntary Contributions","0.0000000000","2021"
"STATE","Working Capital Fund Programs","0.0000000000","2021"
"STATE","Worldwide Security Protection","0.0000000000","2021"
"STB","","0.0000000000","2023"
"STB","","0.0000000000","2024"
"TREASURY","","25.2000000000","2023"
"TREASURY","","64.6800000000","2022"
"TREASURY","","116.0600000000","2024"
"TREASURY","Alcohol and Tobacco Tax and Trade Bureau - Internal Revenue Collection Puerto Rico","0.0000000000","2021"
"TREASURY","Alcohol and Tobacco Tax and Trade Bureau - Salaries and Expenses","0.0000000000","2021"
"TREASURY","Bureau of Engraving and Printing","0.0167580000","2019"
"TREASURY","Bureau of Engraving and Printing - Bureau of Engraving and Printing Fund","0.0000000000","2021"
"TREASURY","Bureau of the Fiscal Service","2.6464242100","2018"
"TREASURY","Bureau of the Fiscal Service","5.1300000000","2020"
"TREASURY","Community Development Financial Institutions Fund - Capital Magnet Fund","0.0000000000","2021"
"TREASURY","Community Development Financial Institutions Fund - CDFI BGP Financing Fund","0.0000000000","2021"
"TREASURY","Community Development Financial Institutions Fund - Community Development Financial Institutions (CDFI) Equity Investment Dividend","0.0000000000","2021"
"TREASURY","Community Development Financial Institutions Fund - Community Development Financial Institutions (CDFI) Program","0.0000000000","2021"
"TREASURY","DCP","0.0808700000","2017"
"TREASURY","Departmental Offices - Air Carrier Worker Support","0.0000000000","2021"
"TREASURY","Departmental Offices - Assist to Fannie Mae and Freddie Mac (FNMC) & Federal Home Loan Mortgage Corporation (FHLMC)","0.0000000000","2021"
"TREASURY","Departmental Offices - Coronavirus Relief Fund","0.0000000000","2021"
"TREASURY","Departmental Offices - Cybersecurity Enhancement Account","0.0000000000","2021"
"TREASURY","Departmental Offices - Economic Stabilization Direct Loan Financing","0.0000000000","2021"
"TREASURY","Departmental Offices - Economic Stabilization Program","0.0000000000","2021"
"TREASURY","Departmental Offices - Exchange Stabilization Fund","0.0000000000","2021"
"TREASURY","Departmental Offices - Federal Research Fund","0.0000000000","2021"
"TREASURY","Departmental Offices - Grants for Specified Energy Property in Lieu of Tax Credit","0.0000000000","2021"
"TREASURY","Departmental Offices - International Affairs Technical Assistance","0.0000000000","2021"
"TREASURY","Departmental Offices - Office of Terrorism and Financial Intelligence","0.0000000000","2021"
"TREASURY","Departmental Offices - Salaries and Expenses","0.2000000000","2021"
"TREASURY","Departmental Offices - Small Business Lending Fund Program","0.0000000000","2021"
"TREASURY","Departmental Offices - Social Impact Demonstration Projects","0.0000000000","2021"
"TREASURY","Departmental Offices - State Small Business Credit Initiative","0.0000000000","2021"
"TREASURY","Departmental Offices - Treasury Forfeiture Fund","0.0000000000","2021"
"TREASURY","Departmental Offices (Treasury)","2.1400000000","2020"
"TREASURY","Departmental Offices (Treasury)","5.0500000000","2018"
"TREASURY","Departmental Offices (Treasury)","14.4451965000","2019"
"TREASURY","District of Columbia (DC) Pensions - DC Federal Pension Fund","0.0000000000","2021"
"TREASURY","District of Columbia Pensions - DC Judicial Retirement & Survivors Annuity Fund","0.0000000000","2021"
"TREASURY","DO","29.6760750500","2017"
"TREASURY","Financial Crimes Enforcement Network - Salaries and Expenses","0.0540000000","2021"
"TREASURY","Fiscal Serivce Gulf Coast Restoration Trust Fund","0.0000000000","2021"
"TREASURY","Fiscal Service","21.9138938600","2017"
"TREASURY","Fiscal Service - American Indian & Alaskan Native","0.0000000000","2021"
"TREASURY","Fiscal Service - Check Forgery Insurance Fund","0.0000000000","2021"
"TREASURY","Fiscal Service - Cheyenne River Sioux Tribe Terrestrial Wildlife Habitat Restoration Trust Fund","0.0000000000","2021"
"TREASURY","Fiscal Service - Claims for Contract Disputes","0.0000000000","2021"
"TREASURY","Fiscal Service - Claims for Damages","0.0000000000","2021"
"TREASURY","Fiscal Service - Corporation for Public Broadcasting","0.0000000000","2021"
"TREASURY","Fiscal Service - DC Water & Sewer","0.0000000000","2021"
"TREASURY","Fiscal Service - Debt Collection","0.0000000000","2021"
"TREASURY","Fiscal Service - Debt Collection Special Fund","0.0000000000","2021"
"TREASURY","Fiscal Service - Emergency Planning & Security","0.0000000000","2021"
"TREASURY","Fiscal Service - Federal Reserve Bank Reimbursement Fund","0.0000000000","2021"
"TREASURY","Fiscal Service - Financial Agent Services","0.0000000000","2021"
"TREASURY","Fiscal Service - Fiscal Service Administrative Salaries and Expenses","0.0000000000","2021"
"TREASURY","Fiscal Service - Fiscal Service Administrative Salaries and Expenses","7.1000000000","2021"
"TREASURY","Fiscal Service - Guam World War II Claims Fund","0.0000000000","2021"
"TREASURY","Fiscal Service - Interest on the Public Debt (indefinite)","0.0000000000","2021"
"TREASURY","Fiscal Service - Interest on Uninvested Funds","0.0000000000","2021"
"TREASURY","Fiscal Service - Judgements, Court of Claims","0.0000000000","2021"
"TREASURY","Fiscal Service - Judgements, U.S. Courts","0.0000000000","2021"
"TREASURY","Fiscal Service - Payment to Legal Services Corporation","0.0000000000","2021"
"TREASURY","Fiscal Service - Payment to Resolution Funds Corporation","0.0000000000","2021"
"TREASURY","Fiscal Service - Refund Money Erroneously Received","0.0000000000","2021"
"TREASURY","Fiscal Service - Reimbursements to Federal Reserve Banks","0.0000000000","2021"
"TREASURY","Fiscal Service - Resident Tuition Sup","0.0000000000","2021"
"TREASURY","Fiscal Service - Restitution of Foregone Interest","0.0000000000","2021"
"TREASURY","Fiscal Service - School Improvement","0.0000000000","2021"
"TREASURY","Fiscal Service - Travel Promotion Fund, Corp for Travel Promotion","0.0000000000","2021"
"TREASURY","Internal Revenue Service","7.5861390000","2019"
"TREASURY","Internal Revenue Service","20.2000000000","2020"
"TREASURY","Internal Revenue Service - Additional Child Tax Credit","0.0000000000","2021"
"TREASURY","Internal Revenue Service - American Opportunity Tax Credit","0.0000000000","2021"
"TREASURY","Internal Revenue Service - Build American Bond Payments, Recovery Act","0.0000000000","2021"
"TREASURY","Internal Revenue Service - Business Systems Modernization","0.0000000000","2021"
"TREASURY","Internal Revenue Service - Earned Income Tax Credit","1.0640000000","2017"
"TREASURY","Internal Revenue Service - Earned Income Tax Credit","55.2000000000","2021"
"TREASURY","Internal Revenue Service - Healthcare Credit Exceeds Liability","0.0000000000","2021"
"TREASURY","Internal Revenue Service - Informant Reimbursement","0.0000000000","2021"
"TREASURY","Internal Revenue Service - Operations Support","0.0000000000","2021"
"TREASURY","Internal Revenue Service - Payment to Issuer of New Clean Renewable Energy Bonds","0.0000000000","2021"
"TREASURY","Internal Revenue Service - Payment to Issuer of Qualified Energy Conservation Bond","0.0000000000","2021"
"TREASURY","Internal Revenue Service - Payment to Issuer of Qualified School Construction Bonds","0.0000000000","2021"
"TREASURY","Internal Revenue Service - Payment to Issuer of Qualified Zone Academy Bonds","0.0000000000","2021"
"TREASURY","Internal Revenue Service - Payments to USVI and Puerto Rico for Disaster Tax Relief","0.0000000000","2021"
"TREASURY","Internal Revenue Service - Private Collection Agent Program","0.0000000000","2021"
"TREASURY","Internal Revenue Service - Refund - Corporations","0.0000000000","2021"
"TREASURY","Internal Revenue Service - Refund Collection - Interest","0.0000000000","2021"
"TREASURY","Internal Revenue Service - Refundable Premium Assistance Tax Credit","0.0000000000","2021"
"TREASURY","Internal Revenue Service - Small Business Insurance Tax Credit","0.0000000000","2021"
"TREASURY","Internal Revenue Service - Special Compliance Personnel Program Account","0.0000000000","2021"
"TREASURY","Internal Revenue Service - Tax Law Enforcement","0.0000000000","2021"
"TREASURY","Internal Revenue Service - Taxpayer Services","0.0000000000","2021"
"TREASURY","Internal Revenue Service - US Coronavirus Payments","0.0000000000","2021"
"TREASURY","Internal Revenue Service - US Coronavirus Refundable Credits","0.0000000000","2021"
"TREASURY","IRS","13.2417333200","2018"
"TREASURY","IRS - Contract Fraud","131.3242427600","2017"
"TREASURY","IRS - General Fraud","12.2897290400","2017"
"TREASURY","Mint","0.4622568500","2017"
"TREASURY","Office of Financial Stability - Home Affordable Modification Program","0.0000000000","2021"
"TREASURY","Office of Financial Stability - Salaries and Expenses","0.0000000000","2021"
"TREASURY","Office of Financial Stability - Troubled Assets Relief Program Direct Loan Financing Account","0.0000000000","2021"
"TREASURY","Office of International Assistance - Contribution International Development Association","0.0000000000","2021"
"TREASURY","Office of International Assistance - Contribution to African Development Bank","0.0000000000","2021"
"TREASURY","Office of International Assistance - Contribution to African Development Fund","0.0000000000","2021"
"TREASURY","Office of International Assistance - Contribution to European Bank for Reconstruction","0.0000000000","2021"
"TREASURY","Office of International Assistance - Contribution to Inter-Amer Development","0.0000000000","2021"
"TREASURY","Office of International Assistance - Contribution to International Bank Reconstruction","0.0000000000","2021"
"TREASURY","Office of International Assistance - Contribution to International Bank Reconstruction","0.0000000000","2021"
"TREASURY","Office of International Assistance - Contribution to International Development Association","0.0000000000","2021"
"TREASURY","Office of International Assistance - Contribution to the Asian Development Fund","0.0000000000","2021"
"TREASURY","Office of International Assistance - Global Environment Facility","0.0000000000","2021"
"TREASURY","Office of International Assistance - Global Food Security Fund","0.0000000000","2021"
"TREASURY","Office of International Assistance - International Fund for Agriculture Development","0.0000000000","2021"
"TREASURY","Office of the Comptroller of the Currency","0.1669000600","2019"
"TREASURY","Office of the Comptroller of the Currency","2.0605414200","2018"
"TREASURY","Office of the Comptroller of the Currency","7.9200000000","2020"
"TREASURY","Office of the Comptroller of the Currency - Assessment Funds","3.5000000000","2021"
"TREASURY","Office of the Inspector General - Salaries and Expenses","0.0000000000","2021"
"TREASURY","Special Inspector General for Troubled Asset Relief Program","0.0000000000","2021"
"TREASURY","The Mint - United States Mint Public Enterprise Fund","0.0000000000","2021"
"TREASURY","Treasury Franchise Fund","0.0000000000","2021"
"TREASURY","Treasury Inspector General for Tax Administration","0.0000000000","2021"
"TVA","","0.0800000000","2024"
"TVA","","0.9100000000","2023"
"USAGM","","0.0000000000","2022"
"USAGM","","0.0000000000","2023"
"USAGM","","0.0000000000","2024"
"USAGM","Domestic Payroll","0.0000000000","2020"
"USAGM","Domestic Payroll","0.0000000000","2021"
"USAGM","International Broadcasting Bureau (IBB)","0.0000000000","2020"
"USAGM","International Broadcasting Bureau (IBB)","0.0000000000","2021"
"USAGM","MBN","0.0553370800","2019"
"USAGM","Middle East Broadcasting Networks (MBN/MN)","0.0000000000","2020"
"USAGM","Middle East Broadcasting Networks (MBN/MN)","0.0000000000","2021"
"USAGM","Office of Cuba Broadcasting (OCB)","0.0000000000","2020"
"USAGM","Office of Cuba Broadcasting (OCB)","0.0000000000","2021"
"USAGM","Open Technology Fund (OTF)","0.0000000000","2021"
"USAGM","Radio Free Asia (RFA)","0.0000000000","2020"
"USAGM","Radio Free Asia (RFA)","0.0000000000","2021"
"USAGM","Radio Free Europe (RFE/RL)","0.0000000000","2020"
"USAGM","Radio Free Europe (RFE/RL)","0.0000000000","2021"
"USAGM","Radio Free Europe (RFE/RL)","1.9700000000","2018"
"USAGM","RFE/RL","0.0648950000","2019"
"USAGM","Technology, Services and Innovation (TSI)","0.0000000000","2020"
"USAGM","Technology, Services and Innovation (TSI)","0.0000000000","2021"
"USAGM","Travel","0.0496248700","2019"
"USAGM","Voice of America (VOA)","0.0000000000","2020"
"USAID","","0.0000000000","2022"
"USAID","","0.0000000000","2023"
"USAID","","0.0000000000","2024"
"USAID","A01 Counter-Terrorism","0.0000000000","2021"
"USAID","A02 Combating Weapons of Mass Destruction (WMD)","0.0000000000","2021"
"USAID","A03 Stabilization Operations and Security Sector Reform","0.0000000000","2021"
"USAID","A04 Counter-Narcotics","0.0000000000","2021"
"USAID","A05 Transnational Crime","0.0000000000","2021"
"USAID","A06 Conflict Mitigation and Reconciliation","0.0000000000","2021"
"USAID","A07 Rule of Law and Human Rights","0.0000000000","2021"
"USAID","A08 Good Governance","0.0000000000","2021"
"USAID","A09 Political Competition and Consensus-Building","0.0000000000","2021"
"USAID","A10 Civil Society","0.0000000000","2021"
"USAID","A11 Health","0.0000000000","2021"
"USAID","A12 Education","0.0000000000","2021"
"USAID","A13 Social and Economic Services and Protection for Vulnerable Populations","0.0000000000","2021"
"USAID","A14 Macroeconomic Foundation for Growth","0.0000000000","2021"
"USAID","A15 Trade and Investment","0.0000000000","2021"
"USAID","A16 Financial Sector","0.0000000000","2021"
"USAID","A17 Infrastructure","0.0000000000","2021"
"USAID","A18 Agriculture","0.0000000000","2021"
"USAID","A19 Private Sector Competitiveness","0.0000000000","2021"
"USAID","A20 Economic Opportunity","0.0000000000","2021"
"USAID","A21 Environment","0.0000000000","2021"
"USAID","A22 Protection, Assistance and Solutions","0.0000000000","2021"
"USAID","A23 Disaster Readiness","0.0000000000","2021"
"USAID","A23 Disaster Readiness","0.0000000000","2021"
"USAID","A24 Migration Management","0.0000000000","2021"
"USAID","A25 Crosscutting Management and Staffing","0.0000000000","2021"
"USAID","A26 Program Design and Learning","0.0000000000","2021"
"USAID","A27 Administration and Oversight","0.0000000000","2021"
"USAID","Democracy and Governance (Rule of Law, Good Governance, Civil Society, Independent Media and Free Flow of Information)","0.9700000000","2017"
"USAID","DR.1 Democracy, Human Rights and Governance/Rule of Law (ROL)","0.0000000000","2021"
"USAID","DR.2 Democracy, Human Rights and Governance/Good Governance","0.0000000000","2021"
"USAID","DR.3 Democracy, Human Rights and Governance/Political Competition and Consensus-Building","0.0000000000","2021"
"USAID","DR.3 Democracy, Human Rights and Governance/Political Competition and Consensus-Building","0.0200000000","2018"
"USAID","DR.4 Democracy, Human Rights and Governance/Civil Society","0.0000000000","2021"
"USAID","DR.4 Democracy, Human Rights and Governance/Civil Society","1.6300000000","2019"
"USAID","DR.4 Democracy, Human Rights and Governance/Civil Society","1.6300000000","2020"
"USAID","DR.5 Democracy, Human Rights and Governance/Independent Media and Free Flow of Information","0.0000000000","2021"
"USAID","DR.6 Democracy, Human Rights and Governance/Human Rights","0.0000000000","2021"
"USAID","EG.1 Economic Growth/Macroeconomic Foundation for Growth","0.0000000000","2021"
"USAID","EG.2 Economic Growth/Trade and Investment","0.0000000000","2021"
"USAID","EG.3 Economic Growth/Agriculture","0.0000000000","2021"
"USAID","EG.3 Economic Growth/Agriculture","0.1200000000","2018"
"USAID","EG.4 Economic Growth/Financial Sector","0.0000000000","2021"
"USAID","EG.6 Economic Growth/Workforce Development","0.0000000000","2021"
"USAID","EG.6 Economic Growth/Workforce Development","2.1300000000","2018"
"USAID","EG.7 Economic Growth/Modern Energy Services","0.0000000000","2021"
"USAID","EG.8 Economic Growth/Information and Communications Technology Services","0.0000000000","2021"
"USAID","EG.9 Economic Growth/Transport Services","0.0000000000","2021"
"USAID","Environment (Workforce Development, Modern Energy Services, Environment, Climate Change)","1.6200000000","2017"
"USAID","ES.1 Education and Social Services/Basic Education","0.0000000000","2021"
"USAID","ES.1 Education and Social Services/Basic Education","2.4800000000","2018"
"USAID","ES.2 Education and Social Services/Higher Education","0.0000000000","2021"
"USAID","ES.3 Education and Social Services//Social Policies, Regulations, and Systems","0.0000000000","2021"
"USAID","ES.4 Education and Social Services/Social Services","0.0000000000","2021"
"USAID","ES.5 Education and Social Services/Social Assistance","0.0000000000","2021"
"USAID","HA.1 Humanitarian Assistance/Protection, Assistance and Solutions","0.0000000000","2021"
"USAID","HA.1 Humanitarian Assistance/Protection, Assistance and Solutions","0.3800000000","2019"
"USAID","HA.1 Humanitarian Assistance/Protection, Assistance and Solutions","0.3800000000","2020"
