"Agency","Fiscal_Year","Program_Name","in_draft","Was_the_Program_or_Activity_Susceptible_to_Significant_Improper_","raa6_2","raa7_2"
"TREASURY","2020","Financial Crimes Enforcement Network - Salaries and Expenses","","NO","",""
"TREASURY","2020","Fiscal Serivce  Gulf Coast Restoration Trust Fund","","NO","",""
"TREASURY","2020","Fiscal Service - Claims for Contract Disputes","","NO","",""
"TREASURY","2020","Fiscal Service - Claims for Damages","","NO","",""
"TREASURY","2020","Fiscal Service - Corporation for Public Broadcasting","","NO","",""
"TREASURY","2020","Fiscal Service - DC Water & Sewer","","NO","",""
"TREASURY","2020","Fiscal Service - Debt Collection Special Fund","","NO","",""
"TREASURY","2020","Fiscal Service - Emergency Planning & Security","","NO","",""
"TREASURY","2020","Fiscal Service - Federal Reserve Bank Reimbursement Fund","","NO","",""
"TREASURY","2020","Fiscal Service - Financial Agent Services","","NO","",""
"TREASURY","2020","Fiscal Service - Fiscal Service Administrative Salaries and Expenses","","NO","",""
"TREASURY","2020","Fiscal Service - Interest on the Public Debt (indefinite)","","NO","",""
"TREASURY","2020","Fiscal Service - Interest on Uninvested Funds","","NO","",""
"TREASURY","2020","Fiscal Service - Judgements, Court of Claims","","NO","",""
"TREASURY","2020","Fiscal Service - Judgements, U.S. Courts","","NO","",""
"TREASURY","2020","Fiscal Service - Payment to Legal Services Corporation","","NO","",""
"TREASURY","2020","Fiscal Service - Payment to Resolution Funds Corporation","","NO","",""
"TREASURY","2020","Fiscal Service - Refund Money Erroneously Received","","NO","",""
"TREASURY","2020","Fiscal Service - Reimbursements to Federal Reserve Banks","","NO","",""
"TREASURY","2020","Fiscal Service - Resident Tuition Sup","","NO","",""
"TREASURY","2020","Fiscal Service - Restitution of Foregone Interest","","NO","",""
"TREASURY","2020","Fiscal Service - School Improvement","","NO","",""
"TREASURY","2020","Fiscal Service - Travel Promotion Fund, Corp for Travel Promotion","","NO","",""
"TREASURY","2020","Internal Revenue Service - Healthcare Credit Exceeds Liability","","NO","",""
"TREASURY","2020","Internal Revenue Service - Refund Collection - Interest","","NO","",""
"TREASURY","2020","Internal Revenue Service - Refund-Corporations","","NO","",""
"TREASURY","2020","Office of Financial Stability - Home Affordable Modification Program","","NO","",""
"TREASURY","2020","Office of Financial Stability - Salaries and Expenses","","NO","",""
"TREASURY","2020","Office of International Assistance - Contribution to African Development Bank","","NO","",""
"TREASURY","2020","Office of International Assistance - Contribution to African Development Fund","","NO","",""
"TREASURY","2020","Office of International Assistance - Contribution to International Development Association","","NO","",""
"TREASURY","2020","Office of International Assistance - Contribution to the Asian Development Fund","","NO","",""
"TREASURY","2020","Office of International Assistance - Global Environment Facility","","NO","",""
"TREASURY","2020","Office of International Assistance - International Fund for Agriculture Development","","NO","",""
"TREASURY","2020","Office of the Comptroller of the Currency - Assessment Funds","","NO","",""
"TREASURY","2020","Office of the Inspector General - Salaries and Expenses","","NO","",""
"TREASURY","2020","Special Inspector General for Troubled Asset Relief Program","","NO","",""
"TREASURY","2020","The Mint - United States Mint Public Enterprise Fund","","NO","",""
"TREASURY","2020","Treasury Franchise Fund","","NO","",""
"TREASURY","2020","Treasury Inspector General for Tax Administration","","NO","",""
"TREASURY","2021","Alcohol and Tobacco Tax and Trade Bureau - Salaries and Expenses","","No","",""
"TREASURY","2021","Departmental Offices - Air Carrier Worker Support","","No","",""
"TREASURY","2021","Departmental Offices - Coronavirus Relief Fund","","No","",""
"TREASURY","2021","Departmental Offices - Economic Stabilization Direct Loan Financing","","No","",""
"TREASURY","2021","Departmental Offices - Exchange Stabilization Fund","","No","",""
"TREASURY","2021","Fiscal Serivce  Gulf Coast Restoration Trust Fund","","No","",""
"TREASURY","2021","Fiscal Service - American Indian & Alaskan Native","","No","",""
"TREASURY","2021","Fiscal Service - Emergency Planning & Security","","No","",""
"TREASURY","2021","Fiscal Service - Guam World War II Claims Fund","","No","",""
"TREASURY","2021","Fiscal Service - Interest on the Public Debt (indefinite)","","No","",""
"TREASURY","2021","Fiscal Service - Judgements, Court of Claims","","No","",""
"TREASURY","2021","Fiscal Service - Refund Money Erroneously Received","","No","",""
"TREASURY","2021","Internal Revenue Service - Business Systems Modernization","","No","",""
"TREASURY","2021","Internal Revenue Service - Informant Reimbursement","","No","",""
"TREASURY","2021","Internal Revenue Service - Operations Support","","No","",""
"TREASURY","2021","Internal Revenue Service - Private Collection Agent Program","","No","",""
"TREASURY","2021","Internal Revenue Service - Refund - Corporations","","No","",""
"TREASURY","2021","Internal Revenue Service - Special Compliance Personnel Program Account","","No","",""
"TREASURY","2021","Internal Revenue Service - Tax Law Enforcement","","No","",""
"TREASURY","2021","Internal Revenue Service - Taxpayer Services","","No","",""
"TREASURY","2021","Internal Revenue Service - US Coronavirus Payments","","No","",""
"TREASURY","2021","Internal Revenue Service - US Coronavirus Refundable Credits","","No","",""
"TREASURY","2021","Office of Financial Stability - Home Affordable Modification Program","","No","",""
"TREASURY","2021","Office of Financial Stability - Salaries and Expenses","","No","",""
"TREASURY","2021","Office of International Assistance - Contribution to International Bank Reconstruction","","No","",""
"TREASURY","2021","Office of International Assistance - Global Food Security Fund","","No","",""
"TREASURY","2021","The Mint - United States Mint Public Enterprise Fund","","No","",""
"TREASURY","2022","Bureau of Engraving and Printing - Bureau of Engraving and Printing Fund","0","No","",""
"TREASURY","2022","Community Development Financial Institutions - Emergency Support Program","0","No","",""
"TREASURY","2022","Community Development Financial Institutions Fund - Community Development Financial Institutions (CDFI) Equity Investment Dividend","0","No","",""
"TREASURY","2022","Departmental Offices - Coronavirus Relief Fund","0","No","",""
"TREASURY","2022","Departmental Offices - Cybersecurity Enhancement Account","0","No","",""
"TREASURY","2022","Departmental Offices - Economic Stabilization Program","0","No","",""
"TREASURY","2022","Departmental Offices - Emergency Rental Assistance","0","No","",""
"TREASURY","2022","Departmental Offices - Federal Research Fund","0","No","",""
"TREASURY","2022","Departmental Offices - Homeowners Assistance Fund","0","No","",""
"TREASURY","2022","Departmental Offices - Office of Terrorism and Financial Intelligence","0","No","",""
"TREASURY","2022","Departmental Offices - Pandemic Relief for Aviation Workers","0","No","",""
"TREASURY","2022","Departmental Offices - Salaries and Expenses","0","No","",""
"TREASURY","2022","Departmental Offices - Transportation Services Economic Relief","0","No","",""
"TREASURY","2022","Departmental Offices - Treasury Forfeiture Fund","0","No","",""
"TREASURY","2022","District of Columbia (DC) Pensions - DC Federal Pension Fund","0","No","",""
"TREASURY","2022","District of Columbia Pensions - DC Judicial Retirement & Survivors Annuity Fund","0","No","",""
"TREASURY","2022","Fiscal Service - Check Forgery Insurance Fund","0","No","",""
"TREASURY","2022","Fiscal Service - Claims for Contract Disputes","0","No","",""
"TREASURY","2022","Fiscal Service - Corporation for Public Broadcasting","0","No","",""
"TREASURY","2022","Fiscal Service - Debt Collection Special Fund","0","No","",""
"TREASURY","2022","Fiscal Service - Debt Collection","0","No","",""
"TREASURY","2022","Fiscal Service - Emergency Planning & Security","0","No","",""
"TREASURY","2022","Fiscal Service - Financial Agent Services","0","No","",""
"TREASURY","2022","Fiscal Service - Fiscal Service Administrative Salaries and Expenses","0","No","",""
"TREASURY","2022","Fiscal Service - Judgements, U.S. Courts","0","No","",""
"TREASURY","2022","Fiscal Service - Payment to Legal Services Corporation","0","No","",""
"TREASURY","2022","Fiscal Service - Payment to Resolution Funds Corporation","0","No","",""
"TREASURY","2022","Fiscal Service - Resident Tuition Sup","0","No","",""
"TREASURY","2022","Internal Revenue Service - Build American Bond Payments, Recovery Act","0","No","",""
"TREASURY","2022","Internal Revenue Service - Healthcare Credit Exceeds Liability","0","No","",""
"TREASURY","2022","Internal Revenue Service - Payment to Issuer of New Clean Renewable Energy Bonds","0","No","",""
"TREASURY","2022","Internal Revenue Service - Payment to Issuer of Qualified Energy Conservation Bond","0","No","",""
"TREASURY","2022","Internal Revenue Service - Payment to Issuer of Qualified School Construction Bonds","0","No","",""
"TREASURY","2022","Internal Revenue Service - Payment to Issuer of Qualified Zone Academy Bonds","0","No","",""
"TREASURY","2022","Internal Revenue Service - Refund Collection - Interest","0","No","",""
"TREASURY","2022","Office of International Assistance - Contribution to African Development Bank","0","No","",""
"TREASURY","2022","Special Inspector General for Troubled Asset Relief Program","0","No","",""
"TREASURY","2023","Alcohol and Tobacco Tax and Trade Bureau - Internal Revenue Collection Puerto Rico","0","","Yes","No"
"TREASURY","2023","Alcohol and Tobacco Tax and Trade Bureau - Salaries and Expenses","0","","No","No"
"TREASURY","2023","Bureau of Engraving and Printing - Bureau of Engraving and Printing Fund","0","","No","No"
"TREASURY","2023","Community Development Financial Institutions - Emergency Support Program","0","","Yes","No"
"TREASURY","2023","Community Development Financial Institutions Fund - Capital Magnet Fund","0","","Yes","No"
"TREASURY","2023","Community Development Financial Institutions Fund - CDFI BGP Financing Fund","0","","Yes","No"
"TREASURY","2023","Community Development Financial Institutions Fund - Community Development Financial Institutions (CDFI) Equity Investment Dividend","0","","No","No"
"TREASURY","2023","Departmental Offices - Contributions of the International Monetary Fund Facilities and Trust Funds","0","","Yes","No"
"TREASURY","2023","Departmental Offices - Coronavirus Capital Projects Fund","0","","Yes","No"
"TREASURY","2023","Departmental Offices - Coronavirus Relief Fund","0","","No","No"
"TREASURY","2023","Departmental Offices - Cybersecurity Enhancement Account","0","","No","No"
"TREASURY","2023","Departmental Offices - Emergency Capital Investment Fund","0","","Yes","No"
"TREASURY","2023","Departmental Offices - Emergency Rental Assistance","0","","No","No"
"TREASURY","2023","Departmental Offices - Federal Research Fund","0","","No","No"
"TREASURY","2023","Departmental Offices - Homeowners Assistance Fund","0","","Yes","No"
"TREASURY","2023","Departmental Offices - International Affairs Technical Assistance","0","","Yes","No"
"TREASURY","2023","Departmental Offices - Local Assistance and Tribal Consistency Fund","0","","Yes","No"
"TREASURY","2023","Departmental Offices - Office of Terrorism and Financial Intelligence","0","","No","No"
"TREASURY","2023","Departmental Offices - Pandemic Relief for Aviation Workers","0","","No","No"
"TREASURY","2023","Departmental Offices - Salaries and Expenses","0","","No","No"
"TREASURY","2023","Departmental Offices - State Small Business Credit Initiative","0","","Yes","No"
"TREASURY","2023","Departmental Offices - Transportation Services Economic Relief","0","","No","No"
"TREASURY","2023","Departmental Offices - Treasury Forfeiture Fund","0","","No","No"
"TREASURY","2023","District of Columbia (DC) Pensions - DC Federal Pension Fund","0","","No","No"
"TREASURY","2023","District of Columbia Pensions - DC Judicial Retirement & Survivors Annuity Fund","0","","No","No"
"TREASURY","2023","Financial Crimes Enforcement Network - Salaries and Expenses","0","","Yes","No"
"TREASURY","2023","Fiscal Serivce  Gulf Coast Restoration Trust Fund","0","","No","No"
"TREASURY","2023","Fiscal Service - American Indian & Alaskan Native","0","","No","No"
"TREASURY","2023","Fiscal Service - Check Forgery Insurance Fund","0","","No","No"
"TREASURY","2023","Fiscal Service - Claims for Contract Disputes","0","","No","No"
"TREASURY","2023","Fiscal Service - Corporation for Public Broadcasting","0","","No","No"
"TREASURY","2023","Fiscal Service - DC Water & Sewer","0","","Yes","No"
"TREASURY","2023","Fiscal Service - Debt Collection","0","","No","No"
"TREASURY","2023","Fiscal Service - Emergency Planning & Security","0","","No","No"
"TREASURY","2023","Fiscal Service - Federal Reserve Bank Reimbursement Fund","0","","Yes","No"
"TREASURY","2023","Fiscal Service - Financial Agent Services","0","","No","No"
"TREASURY","2023","Fiscal Service - Fiscal Service Administrative Salaries and Expenses","0","","No","No"
"TREASURY","2023","Fiscal Service - Interest on the Public Debt (indefinite)","0","","No","No"
"TREASURY","2023","Fiscal Service - Judgements, Court of Claims","0","","No","No"
"TREASURY","2023","Fiscal Service - Judgements, U.S. Courts","0","","No","No"
"TREASURY","2023","Fiscal Service - Payment to Legal Services Corporation","0","","No","No"
"TREASURY","2023","Fiscal Service - Payment to Resolution Funds Corporation","0","","No","No"
"TREASURY","2023","Fiscal Service - Refund Money Erroneously Received","0","","No","No"
"TREASURY","2023","Fiscal Service - Reimbursements to Federal Reserve Banks","0","","Yes","No"
"TREASURY","2023","Fiscal Service - Resident Tuition Sup","0","","No","No"
"TREASURY","2023","Fiscal Service - Travel Promotion Fund, Corp for Travel Promotion","0","","Yes","No"
"TREASURY","2023","Fiscal Service- Restitution of Foregone Interest","0","","Yes","No"
"TREASURY","2023","Internal Revenue Service - Additional Child Tax Credit","0","","No","No"
"TREASURY","2023","Internal Revenue Service - American Opportunity Tax Credit","0","","No","No"
"TREASURY","2023","Internal Revenue Service - Build American Bond Payments, Recovery Act","0","","No","No"
"TREASURY","2023","Internal Revenue Service - Business Systems Modernization","0","","No","No"
"TREASURY","2023","Internal Revenue Service - Child and Dependent Care Tax Credit","0","","Yes","Yes"
"TREASURY","2023","Internal Revenue Service - Earned Income Tax Credit","0","","No","No"
"TREASURY","2023","Internal Revenue Service - Healthcare Credit Exceeds Liability","0","","No","No"
"TREASURY","2023","Internal Revenue Service - Informant Reimbursement","0","","No","No"
"TREASURY","2023","Internal Revenue Service - Operations Support","0","","No","No"
"TREASURY","2023","Internal Revenue Service - Payment to Issuer of New Clean Renewable Energy Bonds","0","","No","No"
"TREASURY","2023","Internal Revenue Service - Payment to Issuer of Qualified Energy Conservation Bond","0","","No","No"
"TREASURY","2023","Internal Revenue Service - Payment to Issuer of Qualified School Construction Bonds","0","","No","No"
"TREASURY","2023","Internal Revenue Service - Payment to Issuer of Qualified Zone Academy Bonds","0","","No","No"
"TREASURY","2023","Internal Revenue Service - Private Collection Agent Program","0","","No","No"
"TREASURY","2023","Internal Revenue Service - Refund - Corporations","0","","No","No"
"TREASURY","2023","Internal Revenue Service - Refund Collection - Interest","0","","No","No"
"TREASURY","2023","Internal Revenue Service - Refundable Premium Assistance Tax Credit","0","","No","No"
"TREASURY","2023","Internal Revenue Service - Refund-Corporations","0","","No","No"
"TREASURY","2023","Internal Revenue Service - Special Compliance Personnel Program Account","0","","No","No"
"TREASURY","2023","Internal Revenue Service - Tax Law Enforcement","0","","No","No"
"TREASURY","2023","Internal Revenue Service - Taxpayer Services","0","","No","No"
"TREASURY","2023","Internal Revenue Service - US Coronavirus Payments","0","","No","No"
"TREASURY","2023","Internal Revenue Service - US Coronavirus Refundable Credits","0","","No","No"
"TREASURY","2023","Office of Financial Stability - Home Affordable Modification Program","0","","No","No"
"TREASURY","2023","Office of Financial Stability - Salaries and Expenses","0","","No","No"
"TREASURY","2023","Office of International Assistance - Contribution to African Development Bank","0","","No","No"
"TREASURY","2023","Office of International Assistance - Contribution to African Development Fund","0","","Yes","No"
"TREASURY","2023","Office of International Assistance - Contribution to European Bank for Reconstruction","0","","Yes","No"
"TREASURY","2023","Office of International Assistance - Contribution to International Bank Reconstruction","0","","No","No"
"TREASURY","2023","Office of International Assistance - Contribution to International Development Association","0","","Yes","No"
"TREASURY","2023","Office of International Assistance - Contribution to the Asian Development Fund","0","","Yes","No"
"TREASURY","2023","Office of International Assistance - Global Environment Facility","0","","Yes","No"
"TREASURY","2023","Office of International Assistance - Global Food Security","0","","Yes","No"
"TREASURY","2023","Office of International Assistance - International Fund for Agriculture Development","0","","Yes","No"
"TREASURY","2023","Office of the Comptroller of the Currency - Assessment Funds","0","","Yes","No"
"TREASURY","2023","Office of the Inspector General - Salaries and Expenses","0","","Yes","No"
"TREASURY","2023","The Mint - United States Mint Public Enterprise Fund","0","","No","No"
"TREASURY","2023","Treasury Franchise Fund - Treasury Franchise Fund","0","","Yes","No"
"TREASURY","2023","Treasury Inspector General for Tax Administration","0","","Yes","No"
"TREASURY","2024","Alcohol and Tobacco Tax and Trade Bureau - Internal Revenue Collection Puerto Rico","0","","No","No"
"TREASURY","2024","Alcohol and Tobacco Tax and Trade Bureau - Salaries and Expenses","0","","Yes","No"
"TREASURY","2024","Bureau of Engraving and Printing - Bureau of Engraving and Printing Fund","0","","No","No"
"TREASURY","2024","Community Development Financial Institutions - Emergency Support Program","0","","Yes","No"
"TREASURY","2024","Community Development Financial Institutions Fund - Capital Magnet Fund","0","","No","No"
"TREASURY","2024","Community Development Financial Institutions Fund - CDFI BGP Financing Fund","0","","Yes","No"
"TREASURY","2024","Community Development Financial Institutions Fund - Community Development Financial Institutions (CDFI) Equity Investment Dividend","0","","No","No"
"TREASURY","2024","Departmental Offices - Coronavirus Capital Projects Fund","0","","Yes","No"
"TREASURY","2024","Departmental Offices - Coronavirus Relief Fund","0","","No","No"
"TREASURY","2024","Departmental Offices - Cybersecurity Enhancement Account","0","","Yes","No"
"TREASURY","2024","Departmental Offices - Emergency Rental Assistance","0","","Yes","Yes"
"TREASURY","2024","Departmental Offices - Federal Research Fund","0","","No","No"
"TREASURY","2024","Departmental Offices - Homeowners Assistance Fund","0","","Yes","No"
"TREASURY","2024","Departmental Offices - International Affairs Technical Assistance","0","","No","No"
"TREASURY","2024","Departmental Offices - Local Assistance and Tribal Consistency Fund","0","","Yes","No"
"TREASURY","2024","Departmental Offices - Office of Terrorism and Financial Intelligence","0","","No","No"
"TREASURY","2024","Departmental Offices - Salaries and Expenses","0","","No","No"
"TREASURY","2024","Departmental Offices - State Small Business Credit Initiative","0","","No","No"
"TREASURY","2024","Departmental Offices - Treasury Forfeiture Fund","0","","Yes","No"
"TREASURY","2024","District of Columbia (DC) Pensions - DC Federal Pension Fund","0","","No","No"
"TREASURY","2024","District of Columbia Pensions - DC Judicial Retirement & Survivors Annuity Fund","0","","No","No"
"TREASURY","2024","Financial Crimes Enforcement Network - Salaries and Expenses","0","","No","No"
"TREASURY","2024","Fiscal Serivce  Gulf Coast Restoration Trust Fund","0","","Yes","No"
"TREASURY","2024","Fiscal Service - American Indian & Alaskan Native","0","","Yes","No"
"TREASURY","2024","Fiscal Service - Check Forgery Insurance Fund","0","","No","No"
"TREASURY","2024","Fiscal Service - Claims for Contract Disputes","0","","No","No"
"TREASURY","2024","Fiscal Service - Corporation for Public Broadcasting","0","","No","No"
"TREASURY","2024","Fiscal Service - DC Water & Sewer","0","","No","No"
"TREASURY","2024","Fiscal Service - Debt Collection","0","","No","No"
"TREASURY","2024","Fiscal Service - Emergency Planning & Security","0","","No","No"
"TREASURY","2024","Fiscal Service - Federal Reserve Bank Reimbursement Fund","0","","No","No"
"TREASURY","2024","Fiscal Service - Financial Agent Services","0","","No","No"
"TREASURY","2024","Fiscal Service - Fiscal Service Administrative Salaries and Expenses","0","","No","No"
"TREASURY","2024","Fiscal Service - Interest on the Public Debt (indefinite)","0","","Yes","No"
"TREASURY","2024","Fiscal Service - Interest on Uninvested Funds","0","","Yes","No"
"TREASURY","2024","Fiscal Service - Judgements, Court of Claims","0","","Yes","No"
"TREASURY","2024","Fiscal Service - Judgements, U.S. Courts","0","","No","No"
"TREASURY","2024","Fiscal Service - Payment to Legal Services Corporation","0","","No","No"
"TREASURY","2024","Fiscal Service - Payment to Resolution Funds Corporation","0","","No","No"
"TREASURY","2024","Fiscal Service - Refund Money Erroneously Received","0","","Yes","No"
"TREASURY","2024","Fiscal Service - Reimbursements to Federal Reserve Banks","0","","No","No"
"TREASURY","2024","Fiscal Service - Resident Tuition Sup","0","","No","No"
"TREASURY","2024","Fiscal Service - Travel Promotion Fund, Corp for Travel Promotion","0","","No","No"
"TREASURY","2024","Fiscal Service- Restitution of Foregone Interest","0","","Yes","No"
"TREASURY","2024","Internal Revenue Service - Additional Child Tax Credit","0","","No","No"
"TREASURY","2024","Internal Revenue Service - American Opportunity Tax Credit","0","","No","No"
"TREASURY","2024","Internal Revenue Service - Build American Bond Payments, Recovery Act","0","","No","No"
"TREASURY","2024","Internal Revenue Service - Business Systems Modernization","0","","Yes","No"
"TREASURY","2024","Internal Revenue Service - Child and Dependent Care Tax Credit","0","","No","No"
"TREASURY","2024","Internal Revenue Service - Earned Income Tax Credit","0","","No","No"
"TREASURY","2024","Internal Revenue Service - Healthcare Credit Exceeds Liability","0","","No","No"
"TREASURY","2024","Internal Revenue Service - Informant Reimbursement","0","","Yes","No"
"TREASURY","2024","Internal Revenue Service - Operations Support","0","","Yes","No"
"TREASURY","2024","Internal Revenue Service - Payment to Issuer of New Clean Renewable Energy Bonds","0","","No","No"
"TREASURY","2024","Internal Revenue Service - Payment to Issuer of Qualified Energy Conservation Bond","0","","No","No"
"TREASURY","2024","Internal Revenue Service - Payment to Issuer of Qualified School Construction Bonds","0","","No","No"
"TREASURY","2024","Internal Revenue Service - Payment to Issuer of Qualified Zone Academy Bonds","0","","Yes","No"
"TREASURY","2024","Internal Revenue Service - Private Collection Agent Program","0","","Yes","No"
"TREASURY","2024","Internal Revenue Service - Refund - Corporations","0","","Yes","No"
"TREASURY","2024","Internal Revenue Service - Refund Collection - Interest","0","","Yes","No"
"TREASURY","2024","Internal Revenue Service - Refundable Premium Assistance Tax Credit","0","","No","No"
"TREASURY","2024","Internal Revenue Service - Special Compliance Personnel Program Account","0","","Yes","No"
"TREASURY","2024","Internal Revenue Service - Tax Law Enforcement","0","","Yes","No"
"TREASURY","2024","Internal Revenue Service - Taxpayer Services","0","","Yes","No"
"TREASURY","2024","Internal Revenue Service - US Coronavirus Payments","0","","Yes","Yes"
"TREASURY","2024","Internal Revenue Service - US Coronavirus Refundable Credits","0","","Yes","Yes"
"TREASURY","2024","Office of Financial Stability - Home Affordable Modification Program","0","","Yes","No"
"TREASURY","2024","Office of Financial Stability - Salaries and Expenses","0","","Yes","No"
"TREASURY","2024","Office of International Assistance - Clean Tech Fund Loans Financing Acct","0","","Yes","No"
"TREASURY","2024","Office of International Assistance - Contribution to African Development Bank","0","","No","No"
"TREASURY","2024","Office of International Assistance - Contribution to African Development Fund","0","","No","No"
"TREASURY","2024","Office of International Assistance - Contribution to European Bank for Reconstruction","0","","No","No"
"TREASURY","2024","Office of International Assistance - Contribution to International Bank Reconstruction","0","","Yes","No"
"TREASURY","2024","Office of International Assistance - Contribution to International Development Association","0","","No","No"
"TREASURY","2024","Office of International Assistance - Contribution to the Asian Development Fund","0","","No","No"
"TREASURY","2024","Office of International Assistance - Economic Support Fund","0","","Yes","No"
"TREASURY","2024","Office of International Assistance - Global Environment Facility","0","","No","No"
"TREASURY","2024","Office of International Assistance - Global Food Security","0","","No","No"
"TREASURY","2024","Office of International Assistance - International Fund for Agriculture Development","0","","No","No"
"TREASURY","2024","Office of the Comptroller of the Currency - Assessment Funds","0","","No","No"
"TREASURY","2024","Office of the Inspector General - Salaries and Expenses","0","","No","No"
"TREASURY","2024","The Mint - United States Mint Public Enterprise Fund","0","","Yes","No"
"TREASURY","2024","Treasury Franchise Fund","0","","No","No"
"TREASURY","2024","Treasury Inspector General for Tax Administration","0","","No","No"
"TVA","2024","Charge Card Program - Tennessee Valley Authority","0","","Yes","No"
"TVA","2024","Payroll Program - Tennessee Valley Authority","0","","Yes","No"
"TVA","2024","Supply Chain","0","","Yes","No"
"USAGM","2019","Office of Cuba Broadcasting (OCB)","","No","",""
"USAGM","2019","Voice of America (VOA)","","No","",""
"USAGM","2021","International Broadcasting Bureau (IBB)","","No","",""
"USAGM","2021","Middle East Broadcasting Networks (MBN/MN)","","No","",""
"USAGM","2021","Radio Free Asia (RFA)","","No","",""
"USAGM","2021","Radio Free Europe (RFE/RL)","","No","",""
"USAGM","2022","Voice of America (VOA)","0","No","",""
"USAGM","2023","Domestic Payroll","0","","Yes","No"
"USAGM","2023","International Broadcasting Bureau (IBB)","0","","No","No"
"USAGM","2023","Middle East Broadcasting Networks (MBN/MN)","0","","No","No"
"USAGM","2023","Open Technology Fund (OTF)","0","","Yes","No"
"USAGM","2023","Radio Free Asia (RFA)","0","","Yes","No"
"USAGM","2023","Radio Free Europe (RFE/RL)","0","","No","No"
"USAGM","2023","Technology, Services and Innovation (TSI)","0","","Yes","No"
"USAGM","2023","Voice of America (VOA)","0","","No","No"
"USAGM","2024","Domestic Payroll","0","","No","No"
"USAGM","2024","International Broadcasting Bureau (IBB)","0","","Yes","No"
"USAGM","2024","Middle East Broadcasting Networks (MBN/MN)","0","","Yes","No"
"USAGM","2024","Open Technology Fund (OTF)","0","","No","No"
"USAGM","2024","Radio Free Asia (RFA)","0","","No","No"
"USAGM","2024","Radio Free Europe (RFE/RL)","0","","Yes","No"
"USAGM","2024","Technology, Services and Innovation (TSI)","0","","No","No"
"USAGM","2024","Voice of America (VOA)","0","","No","No"
"USAID","2021","A01 Counter-Terrorism","","No","",""
"USAID","2021","A04 Counter-Narcotics","","No","",""
"USAID","2021","A05 Transnational Crime","","No","",""
"USAID","2021","A06 Conflict Mitigation and Reconciliation","","No","",""
"USAID","2021","A07 Rule of Law and Human Rights","","No","",""
"USAID","2021","A08 Good Governance","","No","",""
"USAID","2021","A09 Political Competition and Consensus-Building","","No","",""
"USAID","2021","A10 Civil Society","","No","",""
"USAID","2021","A11 Health","","No","",""
"USAID","2021","A12 Education","","No","",""
"USAID","2021","A13 Social and Economic Services and Protection for Vulnerable Populations","","No","",""
"USAID","2021","A14 Macroeconomic Foundation for Growth","","No","",""
"USAID","2021","A15 Trade and Investment","","No","",""
"USAID","2021","A16 Financial Sector","","No","",""
"USAID","2021","A17 Infrastructure","","No","",""
"USAID","2021","A18 Agriculture","","No","",""
"USAID","2021","A19 Private Sector Competitiveness","","No","",""
"USAID","2021","A20 Economic Opportunity","","No","",""
"USAID","2021","A21 Environment","","No","",""
"USAID","2021","A26 Program Design and Learning","","No","",""
"USAID","2021","A27 Administration and Oversight","","Yes","",""
"USAID","2021","DR.1 Democracy, Human Rights and Governance/Rule of Law (ROL)","","No","",""
"USAID","2021","DR.2 Democracy, Human Rights and Governance/Good Governance","","No","",""
"USAID","2021","DR.3 Democracy, Human Rights and Governance/Political Competition and Consensus-Building","","No","",""
"USAID","2021","DR.4 Democracy, Human Rights and Governance/Civil Society","","No","",""
"USAID","2021","DR.5 Democracy, Human Rights and Governance/Independent Media and Free Flow of Information","","No","",""
"USAID","2021","DR.6 Democracy, Human Rights and Governance/Human Rights","","No","",""
"USAID","2021","EG.1 Economic Growth/Macroeconomic Foundation for Growth","","No","",""
"USAID","2021","EG.2 Economic Growth/Trade and Investment","","No","",""
"USAID","2021","EG.3 Economic Growth/Agriculture","","No","",""
"USAID","2021","EG.4 Economic Growth/Financial Sector","","No","",""
"USAID","2021","EG.6 Economic Growth/Workforce Development","","No","",""
"USAID","2021","EG.7 Economic Growth/Modern Energy Services","","No","",""
"USAID","2021","ES.1 Education and Social Services/Basic Education","","No","",""
"USAID","2021","ES.2 Education and Social Services/Higher Education","","No","",""
"USAID","2021","ES.4 Education and Social Services/Social Services","","No","",""
"USAID","2021","HA.1 Humanitarian Assistance/Protection, Assistance and Solutions","","Yes","",""
"USAID","2021","HA.2 Humanitarian Assistance/Disaster Readiness","","No","",""
"USAID","2021","HA.3 Humanitarian Assistance/Migration Management","","No","",""
"USAID","2021","HL.1 Health/HIV/AIDS","","No","",""
"USAID","2021","HL.3 Health/Malaria","","No","",""
"USAID","2021","HL.5 Health/Other Public Health Threats","","No","",""
"USAID","2021","HL.6 Health/Maternal and Child Health","","No","",""
"USAID","2021","HL.7 Health/Family Planning and Reproductive Health","","No","",""
"USAID","2021","HL.8 Health/Water Supply and Sanitation","","No","",""
"USAID","2021","HL.9 Health/Nutrition","","No","",""
"USAID","2021","OE Operating Expense","","Yes","",""
"USAID","2021","PO.1 Program Development and Oversight/Program Design and Learning","","No","",""
"USAID","2021","PO.2 Program Development and Oversight/Administration and Oversight","","Yes","",""
"USAID","2021","PO.3 Program Development and Oversight/Evaluation","","No","",""
"USAID","2021","PS.1 Peace and Security/Counter-Terrorism","","No","",""
"USAID","2021","PS.3 Peace and Security/Counter-Narcotics","","No","",""
"USAID","2021","PS.6 Peace and Security/Conflict Mitigation and Stabilization","","No","",""
"USAID","2022","A06 Conflict Mitigation and Reconciliation","0","Yes","",""
"USAID","2022","A07 Rule of Law and Human Rights","0","No","",""
